source_system,source_issue_id,canonical_security_id,hk_stock_codes,security_name,valid_from,valid_to,mapping_status,mapping_evidence,mapping_row_count
webb_ccass,29805,webb:issue:29805,02130,CN LOGISTICS,2020-10-15,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29806,webb:issue:29806,02132,LANDRICH HLDG,2020-10-20,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29810,webb:issue:29810,06989,EXCELLENCE CM,2020-10-19,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29813,webb:issue:29813,03031,HT CH A ESG,2020-10-15,2024-12-06,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29814,webb:issue:29814,09031,HT CH A ESG-U,2020-10-15,2024-12-06,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29815,webb:issue:29815,83031,HT CH A ESG-R,2020-10-15,2024-12-06,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29816,webb:issue:29816,00873,SHIMAO SERVICES,2020-10-30,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29820,webb:issue:29820,03187,SAMSUNG REITS,2020-10-15,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29821,webb:issue:29821,09187,SAMSUNG REITS-U,2020-10-15,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29823,webb:issue:29823,02169;02909,CANGGANGRAILWAY,2020-10-23,2024-02-29,AMBIGUOUS,webbsite_full.sqlite/shortnames,5
webb_ccass,29826,webb:issue:29826,02107,FIRST SERVICE,2020-10-22,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29831,webb:issue:29831,01153,JIAYUAN SER,2020-12-09,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29836,webb:issue:29836,03130,HS CSI300,2020-10-23,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29837,webb:issue:29837,83130,HS CSI300-R,2020-10-23,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29840,webb:issue:29840,09993,RADIANCE HLDGS,2020-10-29,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29842,webb:issue:29842,03193,CSOP CSI 5G,2020-10-23,,EXACT,webbsite_full.sqlite/shortnames,1
webb_ccass,29881,webb:issue:29881,02126,JW THERAP-B,2020-11-03,,EXACT,webbsite_full.sqlite/shortnames,1
