source_system,source_participant_id,source_ccass_id,canonical_participant_id,participant_name,valid_from,valid_to,identity_status,mapping_evidence
webb_ccass,88,B01310,ccass:B01310,TUNG TAK SECURITIES (H.K.) CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,89,B01318,ccass:B01318,OKASAN INTERNATIONAL (ASIA) LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,90,B01320,ccass:B01320,LUEN FAT SECURITIES CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,91,B01322,ccass:B01322,WATON SECURITIES INTERNATIONAL LIMITED,2022-12-22,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,92,B01323,ccass:B01323,DEUTSCHE SECURITIES ASIA LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,93,B01324,ccass:B01324,FUNDERSTONE SECURITIES LTD,2019-06-12,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,94,B01326,ccass:B01326,KING SUN SECURITIES LTD,2024-10-21,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,95,B01328,ccass:B01328,BAN HIN SECURITIES CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,96,B01329,ccass:B01329,BLOOMYEARS LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,97,B01330,ccass:B01330,NOMURA SECURITIES (HK) LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,98,B01338,ccass:B01338,EMPEROR SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,99,B01340,ccass:B01340,LEHIN SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,100,B01341,ccass:B01341,TUNG TAI SECURITIES CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,101,B01342,ccass:B01342,WAH THAI SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,102,B01343,ccass:B01343,CELETIO INVESTMENTS LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,103,B01345,ccass:B01345,PHILLIP SECURITIES (HONG KONG) LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,104,B01346,ccass:B01346,CHINA PACIFIC SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,105,B01347,ccass:B01347,CGS INTERNATIONAL SECURITIES HK LTD,2024-04-08,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,106,B01350,ccass:B01350,S. W. WOO & CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,107,B01351,ccass:B01351,WING FUNG SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,108,B01353,ccass:B01353,UOB KAY HIAN (HONG KONG) LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,109,B01355,ccass:B01355,CHINA EVERBRIGHT SECURITIES (HK) LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,110,B01356,ccass:B01356,DELTA ASIA SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,111,B01362,ccass:B01362,JOSPA INVESTMENT CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,112,B01368,ccass:B01368,CORRINGTON SECURITIES & INVESTMENT LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,113,B01372,ccass:B01372,FIRST WORLDSEC SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,114,B01373,ccass:B01373,CHRISTFUND SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,115,B01374,ccass:B01374,PO LEE SECURITIES LTD,2016-07-19,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,116,B01375,ccass:B01375,AVEREST CAPITAL LTD,2018-07-03,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,117,B01376,ccass:B01376,PUBLIC SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,118,B01383,ccass:B01383,RICH PLEASURE SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,119,B01385,ccass:B01385,FAIRWIN BROKING LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,120,B01386,ccass:B01386,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,2014-05-27,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,121,B01387,ccass:B01387,LUEN HING SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,122,B01389,ccass:B01389,ZHONGRONG PT SECURITIES LTD,2017-06-09,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,123,B01391,ccass:B01391,KAY YUE SECURITIES CO LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,124,B01392,ccass:B01392,TAIFAIR SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,125,B01400,ccass:B01400,GLOBAL CREDIT SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,126,B01401,ccass:B01401,MEGABASE SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,127,B01402,ccass:B01402,PHOENIX CAPITAL SECURITIES LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
webb_ccass,128,B01403,ccass:B01403,QUEST STOCKBROKERS (HK) LTD,2009-04-20,2007-06-26,CANONICAL_MAPPED,webbsite_full.sqlite/participants
